element,web_name,team,position,opponent_tier,games_played,avg_pts,avg_xg,avg_xa,total_goals,total_assists,total_cs,avg_bonus
215,Flemming,BUR,FWD,Tier 2 - Mid Upper,10,2.8,0.446,0.017,4,0,2,0.0
215,Flemming,BUR,FWD,Tier 3 - Rest,17,3.35,0.191,0.011,6,0,1,0.47
220,Sánchez,CHE,GKP,Tier 1 - Top 6,11,1.64,0.0,0.001,0,0,1,0.0
220,Sánchez,CHE,GKP,Tier 2 - Mid Upper,11,3.64,0.0,0.0,0,1,2,0.55
220,Sánchez,CHE,GKP,Tier 3 - Rest,18,3.28,0.0,0.002,0,0,6,0.06
224,Cucurella,CHE,DEF,Tier 1 - Top 6,11,1.82,0.059,0.086,0,1,1,0.27
224,Cucurella,CHE,DEF,Tier 2 - Mid Upper,11,1.91,0.012,0.036,0,0,2,0.0
224,Cucurella,CHE,DEF,Tier 3 - Rest,18,3.67,0.087,0.107,1,3,6,0.11
228,Gusto,CHE,DEF,Tier 1 - Top 6,11,2.09,0.002,0.055,0,1,1,0.0
228,Gusto,CHE,DEF,Tier 2 - Mid Upper,11,1.55,0.007,0.092,0,1,1,0.09
228,Gusto,CHE,DEF,Tier 3 - Rest,18,3.28,0.081,0.098,2,1,5,0.33
230,Fofana,CHE,DEF,Tier 1 - Top 6,11,2.09,0.022,0.002,0,1,1,0.0
230,Fofana,CHE,DEF,Tier 2 - Mid Upper,11,1.91,0.038,0.008,0,0,1,0.09
230,Fofana,CHE,DEF,Tier 3 - Rest,18,1.28,0.01,0.028,0,1,2,0.11
235,Palmer,CHE,MID,Tier 1 - Top 6,11,1.27,0.089,0.04,0,0,0,0.0
235,Palmer,CHE,MID,Tier 2 - Mid Upper,11,4.0,0.306,0.082,4,1,1,0.27
235,Palmer,CHE,MID,Tier 3 - Rest,18,3.22,0.363,0.066,6,1,2,0.44
237,Enzo,CHE,MID,Tier 1 - Top 6,11,4.0,0.234,0.146,3,1,1,0.73
237,Enzo,CHE,MID,Tier 2 - Mid Upper,11,3.91,0.273,0.153,2,2,2,0.36
237,Enzo,CHE,MID,Tier 3 - Rest,18,4.11,0.337,0.244,5,2,5,0.39
241,Caicedo,CHE,MID,Tier 1 - Top 6,11,3.18,0.023,0.057,1,1,1,0.45
241,Caicedo,CHE,MID,Tier 2 - Mid Upper,11,3.0,0.026,0.044,1,0,1,0.27
241,Caicedo,CHE,MID,Tier 3 - Rest,18,2.56,0.055,0.072,1,0,4,0.11
242,Dewsbury-Hall,EVE,MID,Tier 1 - Top 6,12,3.17,0.078,0.121,1,1,2,0.33
242,Dewsbury-Hall,EVE,MID,Tier 2 - Mid Upper,10,3.3,0.15,0.15,2,1,3,0.2
242,Dewsbury-Hall,EVE,MID,Tier 3 - Rest,16,5.0,0.119,0.149,5,5,3,0.75
249,João Pedro,CHE,FWD,Tier 1 - Top 6,11,2.0,0.269,0.027,1,0,1,0.27
249,João Pedro,CHE,FWD,Tier 2 - Mid Upper,11,4.91,0.474,0.015,6,2,1,0.91
249,João Pedro,CHE,FWD,Tier 3 - Rest,18,5.61,0.374,0.083,8,7,8,0.94
253,Henderson,CRY,GKP,Tier 1 - Top 6,13,2.23,0.0,0.001,0,0,1,0.0
253,Henderson,CRY,GKP,Tier 2 - Mid Upper,10,4.4,0.0,0.004,0,0,5,0.4
253,Henderson,CRY,GKP,Tier 3 - Rest,17,3.59,0.0,0.004,0,0,5,0.18
256,Muñoz,CRY,DEF,Tier 1 - Top 6,13,1.77,0.046,0.047,1,0,1,0.08
256,Muñoz,CRY,DEF,Tier 2 - Mid Upper,10,4.6,0.039,0.127,0,3,4,0.2
256,Muñoz,CRY,DEF,Tier 3 - Rest,17,4.12,0.086,0.151,3,1,5,0.41
257,Lacroix,CRY,DEF,Tier 1 - Top 6,13,2.62,0.055,0.036,1,0,1,0.0
257,Lacroix,CRY,DEF,Tier 2 - Mid Upper,10,5.6,0.051,0.026,0,1,5,0.5
257,Lacroix,CRY,DEF,Tier 3 - Rest,17,4.0,0.077,0.007,0,1,5,0.35
258,Mitchell,CRY,DEF,Tier 1 - Top 6,13,2.31,0.019,0.032,0,1,1,0.08
258,Mitchell,CRY,DEF,Tier 2 - Mid Upper,10,4.4,0.058,0.117,0,1,5,0.3
258,Mitchell,CRY,DEF,Tier 3 - Rest,17,3.94,0.057,0.059,1,2,6,0.24
260,Guéhi,MCI,DEF,Tier 1 - Top 6,11,4.18,0.135,0.022,1,1,3,0.36
260,Guéhi,MCI,DEF,Tier 2 - Mid Upper,11,5.64,0.045,0.076,1,0,6,0.55
260,Guéhi,MCI,DEF,Tier 3 - Rest,20,4.7,0.113,0.074,1,4,8,0.3
266,Eze,ARS,MID,Tier 1 - Top 6,10,4.9,0.205,0.148,5,1,1,0.5
266,Eze,ARS,MID,Tier 2 - Mid Upper,11,1.45,0.072,0.027,1,0,1,0.0
266,Eze,ARS,MID,Tier 3 - Rest,19,2.63,0.134,0.048,1,2,9,0.16
270,Hughes,CRY,MID,Tier 1 - Top 6,13,1.0,0.018,0.046,0,0,1,0.0
270,Hughes,CRY,MID,Tier 2 - Mid Upper,10,1.3,0.032,0.051,0,0,3,0.0
270,Hughes,CRY,MID,Tier 3 - Rest,17,1.18,0.033,0.062,0,1,1,0.0
272,Lerma,CRY,MID,Tier 1 - Top 6,13,0.92,0.023,0.041,0,0,0,0.0
272,Lerma,CRY,MID,Tier 2 - Mid Upper,10,2.4,0.104,0.027,0,3,3,0.1
272,Lerma,CRY,MID,Tier 3 - Rest,17,2.12,0.031,0.041,0,2,4,0.12
287,Pickford,EVE,GKP,Tier 1 - Top 6,12,2.67,0.0,0.008,0,0,2,0.17
287,Pickford,EVE,GKP,Tier 2 - Mid Upper,10,4.5,0.0,0.004,0,0,4,0.7
287,Pickford,EVE,GKP,Tier 3 - Rest,16,3.62,0.0,0.004,0,0,5,0.12
291,Tarkowski,EVE,DEF,Tier 1 - Top 6,12,2.5,0.038,0.019,0,0,2,0.0
291,Tarkowski,EVE,DEF,Tier 2 - Mid Upper,10,4.8,0.072,0.065,0,1,4,0.2
291,Tarkowski,EVE,DEF,Tier 3 - Rest,16,5.75,0.084,0.076,2,2,5,0.62
292,Mykolenko,EVE,DEF,Tier 1 - Top 6,12,2.33,0.001,0.044,0,0,2,0.17
292,Mykolenko,EVE,DEF,Tier 2 - Mid Upper,10,2.0,0.003,0.09,0,0,2,0.0
292,Mykolenko,EVE,DEF,Tier 3 - Rest,16,2.94,0.015,0.064,0,1,5,0.0
293,O'Brien,EVE,DEF,Tier 1 - Top 6,12,2.42,0.014,0.017,1,0,2,0.0
293,O'Brien,EVE,DEF,Tier 2 - Mid Upper,10,3.5,0.041,0.034,0,2,4,0.1
293,O'Brien,EVE,DEF,Tier 3 - Rest,16,3.25,0.068,0.028,0,1,4,0.06
295,Keane,EVE,DEF,Tier 1 - Top 6,12,3.08,0.032,0.027,0,0,2,0.08
295,Keane,EVE,DEF,Tier 2 - Mid Upper,10,2.0,0.074,0.011,0,0,2,0.0
295,Keane,EVE,DEF,Tier 3 - Rest,16,4.62,0.074,0.004,3,1,3,0.44
299,Ndiaye,EVE,MID,Tier 1 - Top 6,12,3.25,0.164,0.121,1,1,2,0.17
299,Ndiaye,EVE,MID,Tier 2 - Mid Upper,10,3.5,0.193,0.094,2,0,3,0.2
299,Ndiaye,EVE,MID,Tier 3 - Rest,16,3.38,0.174,0.126,3,2,3,0.19
303,Garner,EVE,MID,Tier 1 - Top 6,12,3.83,0.047,0.109,0,3,2,0.0
303,Garner,EVE,MID,Tier 2 - Mid Upper,10,4.3,0.031,0.141,1,1,4,0.3
303,Garner,EVE,MID,Tier 3 - Rest,16,4.38,0.077,0.216,1,3,5,0.62
304,Iroegbunam,EVE,MID,Tier 1 - Top 6,12,1.58,0.005,0.006,0,0,1,0.0
304,Iroegbunam,EVE,MID,Tier 2 - Mid Upper,10,1.4,0.02,0.005,0,0,3,0.0
304,Iroegbunam,EVE,MID,Tier 3 - Rest,16,2.19,0.018,0.037,0,3,4,0.06
311,Beto,EVE,FWD,Tier 1 - Top 6,12,3.17,0.229,0.005,3,1,2,0.5
311,Beto,EVE,FWD,Tier 2 - Mid Upper,10,3.3,0.353,0.003,4,0,1,0.6
311,Beto,EVE,FWD,Tier 3 - Rest,16,2.06,0.164,0.009,2,0,2,0.19
314,Leno,FUL,GKP,Tier 1 - Top 6,12,1.92,0.0,0.0,0,0,0,0.0
314,Leno,FUL,GKP,Tier 2 - Mid Upper,10,3.8,0.0,0.002,0,0,3,0.4
314,Leno,FUL,GKP,Tier 3 - Rest,16,3.81,0.0,0.0,0,0,6,0.25
316,Robinson,FUL,DEF,Tier 1 - Top 6,12,0.83,0.002,0.017,0,0,0,0.0
316,Robinson,FUL,DEF,Tier 2 - Mid Upper,10,1.1,0.004,0.016,0,0,1,0.1
