team,team_id,gw,fixture_id,was_home,opponent,fdr,finished,scored,conceded
WOL,20,17,170,1,BRE,3,True,0,2
BRE,5,17,170,0,WOL,2,True,2,0
TOT,18,17,169,1,LIV,4,True,1,2
LIV,12,17,169,0,TOT,3,True,2,1
EVE,9,17,164,1,ARS,4,True,0,1
ARS,1,17,164,0,EVE,3,True,1,0
LEE,11,17,166,1,CRY,3,True,4,1
CRY,8,17,166,0,LEE,3,True,1,4
AVL,2,17,161,1,MUN,4,True,2,1
MUN,14,17,161,0,AVL,4,True,1,2
FUL,10,17,165,1,NFO,3,True,1,0
NFO,16,17,165,0,FUL,3,True,0,1
MUN,14,18,177,1,NEW,3,True,1,0
NEW,15,18,177,0,MUN,4,True,0,1
NFO,16,18,178,1,MCI,4,True,1,2
MCI,13,18,178,0,NFO,3,True,2,1
ARS,1,18,171,1,BHA,3,True,2,1
BHA,6,18,171,0,ARS,5,True,1,2
BRE,5,18,172,1,BOU,3,True,4,1
BOU,4,18,172,0,BRE,3,True,1,4
BUR,3,18,173,1,EVE,3,True,0,0
EVE,9,18,173,0,BUR,2,True,0,0
LIV,12,18,176,1,WOL,1,True,2,1
WOL,20,18,176,0,LIV,4,True,1,2
WHU,19,18,180,1,FUL,2,True,0,1
FUL,10,18,180,0,WHU,3,True,1,0
CHE,7,18,174,1,AVL,3,True,1,2
AVL,2,18,174,0,CHE,4,True,2,1
SUN,17,18,179,1,LEE,2,True,1,1
LEE,11,18,179,0,SUN,3,True,1,1
CRY,8,18,175,1,TOT,3,True,0,1
TOT,18,18,175,0,CRY,3,True,1,0
BUR,3,19,183,1,NEW,3,True,1,3
NEW,15,19,183,0,BUR,2,True,3,1
CHE,7,19,184,1,BOU,3,True,2,2
BOU,4,19,184,0,CHE,4,True,2,2
NFO,16,19,188,1,EVE,3,True,0,2
EVE,9,19,188,0,NFO,3,True,2,0
WHU,19,19,190,1,BHA,3,True,2,2
BHA,6,19,190,0,WHU,3,True,2,2
ARS,1,19,181,1,AVL,3,True,4,1
AVL,2,19,181,0,ARS,5,True,1,4
MUN,14,19,187,1,WOL,1,True,1,1
WOL,20,19,187,0,MUN,4,True,1,1
CRY,8,19,185,1,FUL,2,True,1,1
FUL,10,19,185,0,CRY,3,True,1,1
LIV,12,19,186,1,LEE,2,True,0,0
LEE,11,19,186,0,LIV,4,True,0,0
BRE,5,19,182,1,TOT,3,True,0,0
TOT,18,19,182,0,BRE,3,True,0,0
SUN,17,19,189,1,MCI,4,True,0,0
MCI,13,19,189,0,SUN,3,True,0,0
AVL,2,20,191,1,NFO,3,True,3,1
NFO,16,20,191,0,AVL,4,True,1,3
BHA,6,20,193,1,BUR,1,True,2,0
BUR,3,20,193,0,BHA,4,True,0,2
WOL,20,20,200,1,WHU,2,True,3,0
WHU,19,20,200,0,WOL,2,True,0,3
BOU,4,20,192,1,ARS,4,True,2,3
ARS,1,20,192,0,BOU,3,True,3,2
LEE,11,20,196,1,MUN,4,True,1,1
MUN,14,20,196,0,LEE,3,True,1,1
EVE,9,20,194,1,BRE,3,True,2,4
BRE,5,20,194,0,EVE,3,True,4,2
NEW,15,20,198,1,CRY,3,True,2,0
CRY,8,20,198,0,NEW,3,True,0,2
TOT,18,20,199,1,SUN,2,True,1,1
SUN,17,20,199,0,TOT,3,True,1,1
FUL,10,20,195,1,LIV,4,True,2,2
LIV,12,20,195,0,FUL,3,True,2,2
MCI,13,20,197,1,CHE,3,True,1,1
CHE,7,20,197,0,MCI,5,True,1,1
WHU,19,21,210,1,NFO,3,True,1,2
NFO,16,21,210,0,WHU,3,True,2,1
BOU,4,21,202,1,TOT,3,True,3,2
TOT,18,21,202,0,BOU,3,True,2,3
BRE,5,21,203,1,SUN,2,True,3,0
SUN,17,21,203,0,BRE,3,True,0,3
CRY,8,21,205,1,AVL,3,True,0,0
AVL,2,21,205,0,CRY,3,True,0,0
EVE,9,21,206,1,WOL,1,True,1,1
WOL,20,21,206,0,EVE,3,True,1,1
FUL,10,21,207,1,CHE,3,True,2,1
CHE,7,21,207,0,FUL,3,True,1,2
MCI,13,21,208,1,BHA,3,True,1,1
BHA,6,21,208,0,MCI,5,True,1,1
BUR,3,21,204,1,MUN,4,True,2,2
MUN,14,21,204,0,BUR,2,True,2,2
NEW,15,21,209,1,LEE,2,True,4,3
LEE,11,21,209,0,NEW,3,True,3,4
ARS,1,21,201,1,LIV,4,True,0,0
LIV,12,21,201,0,ARS,5,True,0,0
MUN,14,22,216,1,MCI,4,True,2,0
MCI,13,22,216,0,MUN,4,True,0,2
CHE,7,22,213,1,BRE,3,True,2,0
BRE,5,22,213,0,CHE,4,True,0,2
LEE,11,22,214,1,FUL,2,True,1,0
FUL,10,22,214,0,LEE,3,True,0,1
LIV,12,22,215,1,BUR,1,True,1,1
BUR,3,22,215,0,LIV,4,True,1,1
TOT,18,22,219,1,WHU,2,True,1,2
WHU,19,22,219,0,TOT,3,True,2,1
SUN,17,22,218,1,CRY,3,True,2,1
CRY,8,22,218,0,SUN,3,True,1,2
NFO,16,22,217,1,ARS,4,True,0,0
ARS,1,22,217,0,NFO,3,True,0,0
WOL,20,22,220,1,NEW,3,True,0,0
NEW,15,22,220,0,WOL,2,True,0,0
AVL,2,22,211,1,EVE,3,True,0,1
EVE,9,22,211,0,AVL,4,True,1,0
BHA,6,22,212,1,BOU,3,True,1,1
BOU,4,22,212,0,BHA,4,True,1,1
WHU,19,23,230,1,SUN,2,True,3,1
SUN,17,23,230,0,WHU,3,True,1,3
BUR,3,23,224,1,TOT,3,True,2,2
TOT,18,23,224,0,BUR,2,True,2,2
FUL,10,23,227,1,BHA,3,True,2,1
BHA,6,23,227,0,FUL,3,True,1,2
MCI,13,23,228,1,WOL,1,True,2,0
WOL,20,23,228,0,MCI,5,True,0,2
BOU,4,23,222,1,LIV,4,True,3,2
LIV,12,23,222,0,BOU,3,True,2,3
BRE,5,23,223,1,NFO,3,True,0,2
NFO,16,23,223,0,BRE,3,True,2,0
CRY,8,23,225,1,CHE,3,True,1,3
CHE,7,23,225,0,CRY,3,True,3,1
NEW,15,23,229,1,AVL,3,True,0,2
AVL,2,23,229,0,NEW,3,True,2,0
ARS,1,23,221,1,MUN,4,True,2,3
MUN,14,23,221,0,ARS,5,True,3,2
EVE,9,23,226,1,LEE,2,True,1,1
LEE,11,23,226,0,EVE,3,True,1,1
BHA,6,24,232,1,EVE,3,True,1,1
EVE,9,24,232,0,BHA,4,True,1,1
LEE,11,24,234,1,ARS,4,True,0,4
ARS,1,24,234,0,LEE,3,True,4,0
WOL,20,24,240,1,BOU,3,True,0,2
BOU,4,24,240,0,WOL,2,True,2,0
CHE,7,24,233,1,WHU,2,True,3,2
WHU,19,24,233,0,CHE,4,True,2,3
LIV,12,24,235,1,NEW,3,True,4,1
NEW,15,24,235,0,LIV,4,True,1,4
AVL,2,24,231,1,BRE,3,True,0,1
BRE,5,24,231,0,AVL,4,True,1,0
MUN,14,24,236,1,FUL,2,True,3,2
FUL,10,24,236,0,MUN,4,True,2,3
NFO,16,24,237,1,CRY,3,True,1,1
CRY,8,24,237,0,NFO,3,True,1,1
TOT,18,24,239,1,MCI,4,True,2,2
MCI,13,24,239,0,TOT,3,True,2,2
SUN,17,24,238,1,BUR,1,True,3,0
BUR,3,24,238,0,SUN,3,True,0,3
LEE,11,25,246,1,NFO,3,True,3,1
NFO,16,25,246,0,LEE,3,True,1,3
MUN,14,25,248,1,TOT,3,True,2,0
TOT,18,25,248,0,MUN,4,True,0,2
ARS,1,25,241,1,SUN,2,True,3,0
SUN,17,25,241,0,ARS,5,True,0,3
BOU,4,25,242,1,AVL,3,True,1,1
AVL,2,25,242,0,BOU,3,True,1,1
BUR,3,25,244,1,WHU,2,True,0,2
WHU,19,25,244,0,BUR,2,True,2,0
FUL,10,25,245,1,EVE,3,True,1,2
EVE,9,25,245,0,FUL,3,True,2,1
WOL,20,25,250,1,CHE,3,True,1,3
CHE,7,25,250,0,WOL,2,True,3,1
NEW,15,25,249,1,BRE,3,True,2,3
BRE,5,25,249,0,NEW,3,True,3,2
BHA,6,25,243,1,CRY,3,True,0,1
CRY,8,25,243,0,BHA,4,True,1,0
LIV,12,25,247,1,MCI,4,True,1,2
MCI,13,25,247,0,LIV,4,True,2,1
CHE,7,26,253,1,LEE,2,True,2,2
LEE,11,26,253,0,CHE,4,True,2,2
EVE,9,26,255,1,BOU,3,True,1,2
BOU,4,26,255,0,EVE,3,True,2,1
TOT,18,26,259,1,NEW,3,True,1,2
NEW,15,26,259,0,TOT,3,True,2,1
WHU,19,26,260,1,MUN,4,True,1,1
MUN,14,26,260,0,WHU,3,True,1,1
AVL,2,26,251,1,BHA,3,True,1,0
BHA,6,26,251,0,AVL,4,True,0,1
MCI,13,26,256,1,FUL,2,True,3,0
FUL,10,26,256,0,MCI,5,True,0,3
NFO,16,26,257,1,WOL,1,True,0,0
WOL,20,26,257,0,NFO,3,True,0,0
CRY,8,26,254,1,BUR,1,True,2,3
BUR,3,26,254,0,CRY,3,True,3,2
SUN,17,26,258,1,LIV,4,True,0,1
LIV,12,26,258,0,SUN,3,True,1,0
BRE,5,26,252,1,ARS,4,True,1,1
ARS,1,26,252,0,BRE,3,True,1,1
WOL,20,26,310,1,ARS,4,True,2,2
ARS,1,26,310,0,WOL,2,True,2,2
AVL,2,27,261,1,LEE,2,True,1,1
LEE,11,27,261,0,AVL,4,True,1,1
BRE,5,27,262,1,BHA,3,True,0,2
BHA,6,27,262,0,BRE,3,True,2,0
CHE,7,27,263,1,BUR,1,True,1,1
BUR,3,27,263,0,CHE,4,True,1,1
WHU,19,27,270,1,BOU,3,True,0,0
BOU,4,27,270,0,WHU,3,True,0,0
MCI,13,27,266,1,NEW,3,True,2,1
NEW,15,27,266,0,MCI,5,True,1,2
CRY,8,27,264,1,WOL,1,True,1,0
WOL,20,27,264,0,CRY,3,True,0,1
NFO,16,27,267,1,LIV,4,True,0,1
LIV,12,27,267,0,NFO,3,True,1,0
SUN,17,27,268,1,FUL,2,True,1,3
FUL,10,27,268,0,SUN,3,True,3,1
TOT,18,27,269,1,ARS,4,True,1,4
ARS,1,27,269,0,TOT,3,True,4,1
EVE,9,27,265,1,MUN,4,True,0,1
MUN,14,27,265,0,EVE,3,True,1,0
WOL,20,28,280,1,AVL,3,True,2,0
AVL,2,28,280,0,WOL,2,True,0,2
