element,web_name,team,position,fdr_level,games_played,avg_pts,avg_xg,avg_xa,avg_minutes,goals,assists,clean_sheets
253,Henderson,CRY,GKP,2,6,4.83,0.0,0.0,75.0,0,0,4
253,Henderson,CRY,GKP,3,20,2.55,0.0,0.004,90.0,0,0,3
253,Henderson,CRY,GKP,4,9,3.56,0.0,0.001,90.0,0,0,3
253,Henderson,CRY,GKP,5,3,1.67,0.0,0.003,90.0,0,0,0
256,Muñoz,CRY,DEF,1,2,5.0,0.055,0.455,80.5,0,0,1
256,Muñoz,CRY,DEF,2,6,6.67,0.167,0.072,60.0,2,0,4
256,Muñoz,CRY,DEF,3,20,2.7,0.04,0.096,55.7,1,4,2
256,Muñoz,CRY,DEF,4,9,3.33,0.061,0.073,75.0,1,0,3
256,Muñoz,CRY,DEF,5,3,1.67,0.0,0.173,87.0,0,0,0
257,Lacroix,CRY,DEF,1,2,1.5,0.105,0.005,45.0,0,0,0
257,Lacroix,CRY,DEF,2,6,7.83,0.103,0.007,90.0,0,1,5
257,Lacroix,CRY,DEF,3,20,2.8,0.051,0.024,84.0,0,0,3
257,Lacroix,CRY,DEF,4,9,4.89,0.066,0.032,76.1,1,1,3
257,Lacroix,CRY,DEF,5,3,2.67,0.03,0.007,90.0,0,0,0
258,Mitchell,CRY,DEF,1,2,6.0,0.095,0.085,90.0,0,1,1
258,Mitchell,CRY,DEF,2,6,5.83,0.01,0.07,90.0,0,0,5
258,Mitchell,CRY,DEF,3,20,2.85,0.066,0.084,86.4,1,2,3
258,Mitchell,CRY,DEF,4,9,3.22,0.001,0.026,79.3,0,0,3
258,Mitchell,CRY,DEF,5,3,2.67,0.07,0.027,90.0,0,1,0
260,Guéhi,MCI,DEF,1,2,6.5,0.035,0.12,90.0,0,1,1
260,Guéhi,MCI,DEF,2,7,4.29,0.036,0.033,90.0,1,0,3
260,Guéhi,MCI,DEF,3,23,4.39,0.137,0.083,86.1,0,3,9
260,Guéhi,MCI,DEF,4,9,5.67,0.063,0.019,70.0,2,0,4
266,Eze,ARS,MID,1,2,2.0,0.205,0.035,64.0,0,0,1
